Gene name	Chromosome/scaffold name	Karyotype band	Gene start (bp)	Gene end (bp)
MIR4723	17	q11.2	28360654	28360734
RF00019	9	q13	61642383	61642494
RF02116	10	q23.31	88992370	88992539
MIR6085	15	q22.2	62343029	62343138
RNU6-1328P	7	q21.3	94495299	94495404
RNU6-581P	7	q31.31	120672871	120672975
MIR759	13	q14.3	52810050	52810140
RF00019	X	p22.12	19985058	19985159
RN7SL413P	13	q14.3	51593919	51594215
RN7SL813P	2	q24.3	168451324	168451606
MIR4295	10	q25.2	112634170	112634254
MIR1307	10	q24.33	103394253	103394401
AC171558.4	KI270727.1		417283	418206
MIR181B1	1	q32.1	198858873	198858982
RF00019	X	p21.3	27252119	27252235
RNA5SP333	11	p15.1	18248389	18248506
RF01210	X	p22.2	17357930	17358033
RF00019	15	q26.3	99681786	99681877
RN7SKP210	22	q13.1	39874255	39874515
RF02220	CHR_HSCHR6_MHC_APD_CTG1		30053585	30053688
RF00019	11	q13.1	64296037	64296138
RN7SL583P	1	p22.2	88477828	88478114
MIR1273D	1	p36.22	10227718	10227803
RF00019	10	q26.13	121846600	121846700
RF00072	2	p16.3	49888868	49888986
RF02198	22	q12.1	27919384	27919545
RF02275	9	p13.3	36072686	36072762
RF00019	5	p15.33	2184710	2184820
RNA5-8SP5	2	q21.2	132253154	132253305
RNU6-287P	17	q21.31	42891338	42891435
SNORD116-10	15	q11.2	25074114	25074215
RNU2-22P	2	q37.1	231501990	231502201
RF00019	2	q33.1	200863152	200863247
RN7SL818P	Y	q11.23	24210958	24211216
RN7SKP129	7	q21.3	94801514	94801812
ARHGAP11A	CHR_HSCHR15_4_CTG8		32695437	32720246
RNVU1-1	1	q21.2	148362370	148362533
RN7SKP36	4	p16.1	7112088	7112399
RNU1-6P	1	p36.13	16534081	16534224
RNA5SP490	21	q22.11	32563075	32563210
RN7SL242P	1	p31.1	70180144	70180440
RNU6-896P	6	q25.2	153681447	153681553
AC011295.1	CHR_HSCHR15_5_CTG8		82403250	82412947
RN7SKP141	2	q22.1	136390332	136390669
NLRP7	CHR_HSCHR19LRC_LRC_J_CTG3_1		54956665	54980661
RF00003	CHR_HSCHR6_MHC_APD_CTG1		32556348	32556496
AP006285.3	CHR_HSCHR11_1_CTG6		1586202	1591699
RNU6-327P	12	q24.33	132835374	132835500
RNU7-186P	17	q21.32	47259358	47259420
RN7SL444P	1	q21.3	151300665	151300964
RF00019	14	q24.3	77821030	77821142
RF00564	1	p36.21	13696070	13696199
RNU6-1137P	17	q21.31	43395993	43396091
RNU6-353P	15	q15.3	43702363	43702470
SNORD114-7	14	q32.31	100963054	100963130
RNU4-22P	14	q31.3	88513498	88513663
RF00019	4	q21.23	83636196	83636290
RN7SL487P	15	q15.3	43391384	43391727
RNU6-1102P	1	p31.1	78088988	78089083
RF00493	X	p22.12	20136066	20136135
RN7SKP205	14	q11.2	23791930	23792236
RNU6-1242P	18	q12.3	39678520	39678622
RNU5B-2P	3	p22.1	40498891	40499003
RN7SL162P	22	q12.1	28642979	28643270
SNORD115-22	15	q11.2	25209918	25209999
RNU6-50P	X	p11.3	46517766	46517868
RF02150	7	q32.2	130489868	130489966
RNU6-319P	9	p22.3	15431899	15432006
RF00003	CHR_HSCHR6_MHC_MANN_CTG1		32672452	32672615
RF02124	X	q13.2	73944332	73944466
RF00019	9	q22.32	96103079	96103174
RN7SL692P	1	p22.1	92974827	92975114
SNORD14B	11	p15.1	17075779	17075868
RNU6-12P	8	q24.12	118976513	118976619
MIR548AZ	8	q24.12	119325171	119325265
RNU6-1086P	8	p21.1	27679836	27679935
RF02271	14	q12	30519161	30519318
RN7SL121P	19	p13.3	2595019	2595291
RF00019	20	q11.1	30309015	30309126
MIR3926-1	8	p23.1	12727232	12727304
SURF2	CHR_HG2030_PATCH		133356700	133361317
MIR4659B	8	p23.1	6745168	6745240
RF00019	9	p13.3	34389943	34390051
MIR5692C2	7	q21.3	97964405	97964481
RF02174	5	q31.1	136133696	136133826
RNU6-1211P	1	q42.2	232700204	232700308
GSTT2B	CHR_HSCHR22_1_CTG7		23957418	23961206
RF00402	18	q23	77431563	77431689
RNA5SP450	18	p11.22	9923920	9924021
RNA5-8SN2	GL000220.1		112025	112177
SNORA80D	7	p22.1	6016877	6017011
RF00012	8	q24.13	123180310	123180525
RNU4ATAC7P	20	q13.2	54859688	54859812
MIR425	3	p21.31	49020148	49020234
RF00019	21	p11.2	7663911	7664011
RF00156	1	q32.1	201978461	201978595
RF00019	1	p13.2	114490724	114490832
RF02246	2	p21	44932320	44932406
RF00026	CHR_HSCHR5_2_CTG1_1		69530371	69530475
RN7SL359P	2	q37.1	232649849	232650136
RNA5SP427	16	q12.2	53337453	53337571
MIR4749	19	q13.33	49854591	49854651
RF00012	8	p11.1	43378297	43378510
RF00612	4	q21.1	77702746	77702803
RN7SL93P	X	q23	113976341	113976633
RF00019	CHR_HSCHR17_1_CTG5		46660217	46660318
RNU4ATAC5P	11	q24.1	122451474	122451599
MIR3942	15	q14	35372256	35372364
RN7SKP244	4	q22.1	88583666	88583972
RN7SL870P	3	p21.31	47560229	47560524
MIR203B	14	q32.33	104117418	104117503
RNU6-1258P	CHR_HSCHR14_7_CTG1		93437400	93437510
RF00019	3	q26.31	171439526	171439627
CRHR1	CHR_HSCHR17_1_CTG5		46261820	46313387
RNA5SP510	X	q21.33	95582064	95582162
RF02109	1	p31.3	63549133	63549216
RF00003	1	q21.2	148522601	148522765
RF00019	4	p16.3	1683420	1683529
RN7SL577P	15	q21.1	49042341	49042643
RNU6-457P	16	p13.3	6873899	6874005
AL117190.3	14	q32.2	100826284	100826370
RF00019	6	q16.2	99642237	99642347
RNA5SP158	4	p14	38758791	38758892
RNU6-1071P	1	q21.1	146288596	146288696
RNU7-74P	4	p14	40377452	40377513
RNU6-494P	12	p11.21	32477382	32477471
RNU6-1308P	3	q13.12	107007568	107007670
TSEN34	CHR_HSCHR19LRC_LRC_J_CTG3_1		54190866	54195141
RF00019	5	q34	168791498	168791610
RNA5SP261	8	p12	31598099	31598204
RF02220	6	p22.1	30061080	30061183
RNU1-133P	2	q33.1	200775584	200775750
RF00019	12	p13.31	7800361	7800467
RNA5SP276	8	q23.3	116022686	116022779
RF00003	CHR_HSCHR1_4_CTG31		144523860	144524021
RNU6-47P	5	q21.3	109014834	109014940
